country,country_name,ihd_deaths
AFG,Afghanistan,89.15188031
ALB,Albania,191.8352435
DZA,Algeria,84.71514474
AGO,Angola,38.70653304
ATG,Antigua_and_Barbuda,81.29940169
ARG,Argentina,138.3386249
ARM,Armenia,312.3825561
AUS,Australia,97.32685316
AUT,Austria,223.6647002
AZE,Azerbaijan,259.5197466
BHS,Bahamas,91.0145165
BHR,Bahrain,51.22062233
BGD,Bangladesh,69.96939773
BRB,Barbados,127.5417913
BLR,Belarus,635.8204375
BEL,Belgium,134.8722665
BLZ,Belize,61.24357117
BEN,Benin,60.32922283
BTN,Bhutan,101.8423409
BOL,Bolivia_(Plurinational_State_of),73.34224352
BIH,Bosnia_and_Herzegovina,241.7914222
BWA,Botswana,51.90208862
BRA,Brazil,79.89660621
BRN,Brunei_Darussalam,51.86443918
BGR,Bulgaria,473.4471817
BFA,Burkina_Faso,54.63367261
BDI,Burundi,31.01087682
CPV,Cabo_Verde,79.50267384
KHM,Cambodia,80.61862207
CMR,Cameroon,53.24681747
CAN,Canada,105.6547677
CAF,Central_African_Republic,59.0672521
TCD,Chad,42.26344701
CHL,Chile,66.2610408
CHN,China,116.478036
COL,Colombia,85.70390966
COM,Comoros,37.19037386
COG,Congo,43.96009881
CRI,Costa_Rica,78.15702464
CIV,Côte_d'Ivoire,71.93047296
HRV,Croatia,344.2740555
CUB,Cuba,170.1680668
CYP,Cyprus,137.3405806
CZE,Czechia,318.9519733
PRK,Democratic_People's_Republic_of_Korea,121.1063649
COD,Democratic_Republic_of_the_Congo,31.63875566
DNK,Denmark,95.19117619
DJI,Djibouti,46.1455835
DOM,Dominican_Republic,108.8450595
ECU,Ecuador,51.66520305
EGY,Egypt,134.6922581
SLV,El_Salvador,99.90929003
GNQ,Equatorial_Guinea,41.34278418
ERI,Eritrea,32.8641036
EST,Estonia,420.5667933
ETH,Ethiopia,47.00228677
FJI,Fiji,128.9141526
FIN,Finland,200.917504
FRA,France,94.39521118
GAB,Gabon,55.88120779
GMB,Gambia,45.80305786
GEO,Georgia,438.5754246
DEU,Germany,225.8087888
GHA,Ghana,67.45759973
GRC,Greece,281.3000782
GRD,Grenada,129.9419667
GTM,Guatemala,51.00805456
GIN,Guinea,51.25619042
GNB,Guinea-Bissau,54.73311122
GUY,Guyana,141.8589236
HTI,Haiti,99.31238517
HND,Honduras,61.37943216
HUN,Hungary,387.212845
ISL,Iceland,133.1459568
IND,India,110.5266301
IDN,Indonesia,100.6105827
IRN,Iran_(Islamic_Republic_of),112.2930515
IRQ,Iraq,90.21512349
IRL,Ireland,111.8560783
ISR,Israel,60.19848641
ITA,Italy,179.3556056
JAM,Jamaica,71.19890368
JPN,Japan,122.5140666
JOR,Jordan,57.29457554
KAZ,Kazakhstan,170.0330609
KEN,Kenya,16.45105571
KIR,Kiribati,61.63463049
KWT,Kuwait,68.95412549
KGZ,Kyrgyzstan,224.913726
LAO,Lao_People's_Democratic_Republic,86.57432829
LVA,Latvia,489.8847166
LBN,Lebanon,212.9467303
LSO,Lesotho,61.55723657
LBR,Liberia,43.4623926
LBY,Libya,119.3717971
LTU,Lithuania,555.3612381
LUX,Luxembourg,105.1708508
MDG,Madagascar,35.48860935
MWI,Malawi,34.06012649
MYS,Malaysia,99.59407932
MDV,Maldives,62.26595301
MLI,Mali,48.05497993
MLT,Malta,220.048843
MRT,Mauritania,51.35716195
MUS,Mauritius,134.5745518
MEX,Mexico,75.23349757
FSM,Micronesia_(Federated_States_of),98.55146356
MNG,Mongolia,140.2407762
MNE,Montenegro,246.3716649
MAR,Morocco,98.95145794
MOZ,Mozambique,33.50305254
MMR,Myanmar,57.81080782
NAM,Namibia,52.82465836
NPL,Nepal,106.6412522
NLD,Netherlands,110.304112
NZL,New_Zealand,124.4401399
NIC,Nicaragua,68.80259085
NER,Niger,38.52956893
NGA,Nigeria,42.1733603
NOR,Norway,117.6726299
OMN,Oman,56.17390467
PAK,Pakistan,139.9567672
PAN,Panama,68.1949813
PNG,Papua_New_Guinea,75.42316671
PRY,Paraguay,76.18165928
PER,Peru,63.62858954
PHL,Philippines,120.8751531
POL,Poland,277.6720487
PRT,Portugal,118.5916523
QAT,Qatar,21.211404
KOR,Republic_of_Korea,49.09730258
MDA,Republic_of_Moldova,493.1771031
ROU,Romania,432.0251786
RUS,Russian_Federation,483.7864018
RWA,Rwanda,30.19650459
LCA,Saint_Lucia,82.57268997
VCT,Saint_Vincent_and_the_Grenadines,134.1514174
WSM,Samoa,93.03099232
STP,Sao_Tome_and_Principe,37.78065419
SAU,Saudi_Arabia,74.85959068
SEN,Senegal,42.27428083
SRB,Serbia,281.3381262
SYC,Seychelles,118.8307905
SLE,Sierra_Leone,61.67626691
SGP,Singapore,88.54859499
SVK,Slovakia,260.1906062
SVN,Slovenia,195.8808239
SLB,Solomon_Islands,68.49929368
SOM,Somalia,20.42967109
ZAF,South_Africa,74.03669043
SSD,South_Sudan,34.36566661
ESP,Spain,114.3237437
LKA,Sri_Lanka,136.1899269
SDN,Sudan,112.2893814
SUR,Suriname,103.12803
SWZ,Swaziland,55.46831055
SWE,Sweden,175.7578424
CHE,Switzerland,138.0791938
SYR,Syrian_Arab_Republic,140.7879259
TJK,Tajikistan,122.0667169
THA,Thailand,91.9798937
MKD,The_former_Yugoslav_Republic_of_Macedonia,178.3934073
TLS,Timor-Leste,66.25844106
TGO,Togo,52.95005426
TON,Tonga,88.69601517
TTO,Trinidad_and_Tobago,179.0713896
