country_name,m49_code,iso3
Afghanistan,004,AFG
Åland_Islands,248,ALA
Albania,008,ALB
Algeria,012,DZA
American_Samoa,016,ASM
Andorra,020,AND
Angola,024,AGO
Anguilla,660,AIA
Antarctica,010,ATA
Antigua_and_Barbuda,028,ATG
Argentina,032,ARG
Armenia,051,ARM
Aruba,533,ABW
Australia,036,AUS
Austria,040,AUT
Azerbaijan,031,AZE
Bahamas,044,BHS
Bahrain,048,BHR
Bangladesh,050,BGD
Barbados,052,BRB
Belarus,112,BLR
Belgium,056,BEL
Belize,084,BLZ
Benin,204,BEN
Bermuda,060,BMU
Bhutan,064,BTN
Bolivia_(Plurinational_State_of),068,BOL
Bonaire_Sint_Eustatius_and_Saba,535,BES
Bosnia_and_Herzegovina,070,BIH
Botswana,072,BWA
Bouvet_Island,074,BVT
Brazil,076,BRA
British_Indian_Ocean_Territory,086,IOT
British_Virgin_Islands,092,VGB
Brunei_Darussalam,096,BRN
Bulgaria,100,BGR
Burkina_Faso,854,BFA
Burundi,108,BDI
Cabo_Verde,132,CPV
Cambodia,116,KHM
Cameroon,120,CMR
Canada,124,CAN
Cayman_Islands,136,CYM
Central_African_Republic,140,CAF
Chad,148,TCD
Chile,152,CHL
China,156,CHN
China_Hong_Kong_Special_Administrative_Region,344,HKG
China_Macao_Special_Administrative_Region,446,MAC
Christmas_Island,162,CXR
Cocos_(Keeling)_Islands,166,CCK
Colombia,170,COL
Comoros,174,COM
Congo,178,COG
Cook_Islands,184,COK
Costa_Rica,188,CRI
Côte_d'Ivoire,384,CIV
Croatia,191,HRV
Cuba,192,CUB
Curaçao,531,CUW
Cyprus,196,CYP
Czechia,203,CZE
Democratic_People's_Republic_of_Korea,408,PRK
Democratic_Republic_of_the_Congo,180,COD
Denmark,208,DNK
Djibouti,262,DJI
Dominica,212,DMA
Dominican_Republic,214,DOM
Ecuador,218,ECU
Egypt,818,EGY
El_Salvador,222,SLV
Equatorial_Guinea,226,GNQ
Eritrea,232,ERI
Estonia,233,EST
Ethiopia,231,ETH
Falkland_Islands_(Malvinas),238,FLK
Faroe_Islands,234,FRO
Fiji,242,FJI
Finland,246,FIN
France,250,FRA
French_Guiana,254,GUF
French_Polynesia,258,PYF
French_Southern_Territories,260,ATF
Gabon,266,GAB
Gambia,270,GMB
Georgia,268,GEO
Germany,276,DEU
Ghana,288,GHA
Gibraltar,292,GIB
Greece,300,GRC
Greenland,304,GRL
Grenada,308,GRD
Guadeloupe,312,GLP
Guam,316,GUM
Guatemala,320,GTM
Guernsey,831,GGY
Guinea,324,GIN
Guinea-Bissau,624,GNB
Guyana,328,GUY
Haiti,332,HTI
Heard_Island_and_McDonald_Islands,334,HMD
Holy_See,336,VAT
Honduras,340,HND
Hungary,348,HUN
Iceland,352,ISL
India,356,IND
Indonesia,360,IDN
Iran_(Islamic_Republic_of),364,IRN
Iraq,368,IRQ
Ireland,372,IRL
Isle_of_Man,833,IMN
Israel,376,ISR
Italy,380,ITA
Jamaica,388,JAM
Japan,392,JPN
Jersey,832,JEY
Jordan,400,JOR
Kazakhstan,398,KAZ
Kenya,404,KEN
Kiribati,296,KIR
Kuwait,414,KWT
Kyrgyzstan,417,KGZ
Lao_People's_Democratic_Republic,418,LAO
Latvia,428,LVA
Lebanon,422,LBN
Lesotho,426,LSO
Liberia,430,LBR
Libya,434,LBY
Liechtenstein,438,LIE
Lithuania,440,LTU
Luxembourg,442,LUX
Madagascar,450,MDG
Malawi,454,MWI
Malaysia,458,MYS
Maldives,462,MDV
Mali,466,MLI
Malta,470,MLT
Marshall_Islands,584,MHL
Martinique,474,MTQ
Mauritania,478,MRT
Mauritius,480,MUS
Mayotte,175,MYT
Mexico,484,MEX
Micronesia_(Federated_States_of),583,FSM
Monaco,492,MCO
Mongolia,496,MNG
Montenegro,499,MNE
Montserrat,500,MSR
Morocco,504,MAR
Mozambique,508,MOZ
Myanmar,104,MMR
Namibia,516,NAM
