Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,139113662,141998877,144904104,147871961,150957572,154198970,157610509,161177796,164879183,168667331,172508052,176400834,180343747,184306583,188253495,192160815,196007048
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,144718354,147851480,151122471,154562558,158204457,162065758,166162755,170476001,174946300,179477763,184000856,188495044,192963246,197395503,201789533,206144145,210445642
Arab World,ARB,"Population, total",SP.POP.TOTL,283832016,289850357,296026575,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960,406452690
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,3232047,3255490,3279422,3303535,3327281,3350373,3372687,3394343,3415573,3436713,3458026,3479511,3501056,3522489,3543658,3564328,3584415
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,3183594,3206066,3227905,3249342,3270742,3292321,3314134,3336145,3358336,3380706,3403185,3425787,3448438,3470830,3492504,3513170,3532693
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6530691,6577216,6623792,6670276,6716373,6761932,6806838,6851221,6895315,6939534,6984096,7029022,7074129,7118888,7162679,7204948,7245472
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,55928710,55644655,55310486,55162167,55031444,54896380,54765774,54566516,54373277,54268423,54070843,53879363,53756862,53643709,53532065,53408379,53260031
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,52476812,52155744,51787091,51598601,51434672,51277386,51135548,50938015,50753409,50655949,50472958,50294675,50178456,50070017,49964114,49849372,49714051
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,108405522,107800399,107097577,106760768,106466116,106173766,105901322,105504531,105126686,104924372,104543801,104174038,103935318,103713726,103496179,103257751,102974082
Early-demographic dividend,EAR,"Population, female",SP.POP.TOTL.FE.IN,1214644579,1235872095,1256932030,1277865408,1298818964,1319894772,1341122617,1362492428,1383985641,1405565516,1427318697,1449086694,1470698208,1492309014,1513884335,1535380576,1556760073
Early-demographic dividend,EAR,"Population, male",SP.POP.TOTL.MA.IN,1259130167,1281414032,1303712441,1325973217,1348208442,1370421851,1392611894,1414793341,1436974245,1459164629,1481489548,1503787026,1525875216,1547931913,1569952025,1591909693,1613782115
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2473774746,2517286127,2560644471,2603838625,2647027406,2690316623,2733734510,2777285769,2820959886,2864730145,2908808244,2952873719,2996573424,3040240928,3083836360,3127290269,3170542188
East Asia & Pacific,EAS,"Population, female",SP.POP.TOTL.FE.IN,1007236116,1016324047,1024883448,1033002019,1040820319,1048496837,1056057220,1063291219,1070627949,1077777799,1084887666,1092017963,1099363829,1106776604,1114333842,1121897298,1129617040
East Asia & Pacific,EAS,"Population, male",SP.POP.TOTL.MA.IN,1037042561,1046459656,1055432342,1064044771,1072428193,1080733284,1088975608,1096930546,1104996765,1112828214,1120523701,1128136995,1135863157,1143570899,1151357557,1159097951,1166959830
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2044496088,2063002418,2080534724,2097265008,2113465324,2129445086,2145245494,2160431752,2175832008,2190811045,2205614879,2220357890,2235430359,2250552199,2265898057,2281203360,2296786207
East Asia & Pacific (excluding high income),EAP,"Population, female",SP.POP.TOTL.FE.IN,890741587,899125020,907080517,914695775,922088036,929374571,936380541,943088069,949717278,956311051,962918747,969639388,976534411,983548187,990675605,997803111,1005124439
East Asia & Pacific (excluding high income),EAP,"Population, male",SP.POP.TOTL.MA.IN,922430825,931259391,939742981,947965047,956036207,964068569,971880525,979439179,986928022,994328057,1001644231,1008959647,1016345376,1023756848,1031214381,1038617480,1046173904
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1813301554,1830514334,1846954095,1862791918,1878255588,1893574455,1908392032,1922657606,1936774935,1950768124,1964691596,1978727582,1993008684,2007434775,2022021082,2036552598,2051431154
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, female",SP.POP.TOTL.FE.IN,878990239,887271782,895125628,902641603,909940160,917140748,924069123,930706080,937269661,943799786,950343617,956999483,963829257,970777643,977840279,984904152,992162975
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, male",SP.POP.TOTL.MA.IN,911253098,919980819,928361189,936480679,944454585,952398225,960130846,967617879,975040493,982376301,989627762,996877254,1004196496,1011541416,1018933344,1026272522,1033766748
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1790334133,1807343753,1823578257,1839213961,1854486630,1869631076,1884292297,1898416530,1912402987,1926269218,1940064830,1953970563,1968120178,1982414412,1996870376,2011274432,2026028438
Euro area,EMU,"Population, female",SP.POP.TOTL.FE.IN,164471775,165029212,165754086,166572491,167416700,168222631,168963005,169807958,170616723,171155967,171547699,171171334,171548658,172123843,172687848,173208561,173852341
Euro area,EMU,"Population, male",SP.POP.TOTL.MA.IN,156839010,157518669,158371252,159313471,160265809,161157787,161959781,162837210,163658008,164204920,164603780,164254497,164618638,165173030,165741798,166310649,167042265
Euro area,EMU,"Population, total",SP.POP.TOTL,321310785,322547881,324125338,325885962,327682509,329380418,330922786,332645168,334274731,335360887,336151479,335425831,336167296,337296873,338429646,339519210,340894606
Europe & Central Asia,ECS,"Population, female",SP.POP.TOTL.FE.IN,444282349,444925347,445699936,446822811,448110318,449432017,450780755,452362839,454136481,455964029,457660132,458645174,460378437,462408162,464453905,466541714,468718855
Europe & Central Asia,ECS,"Population, male",SP.POP.TOTL.MA.IN,415956367,416619556,417420022,418551409,419830507,421133649,422448464,423971416,425680267,427461584,429173037,430250112,432073854,434213881,436410059,438672164,441050153
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,862304084,863615633,865196877,867457662,870030758,872661621,875343230,878465992,881965816,885591693,889016221,891094964,894666669,898855113,903094668,907424836,911995305
Europe & Central Asia (excluding high income),ECA,"Population, female",SP.POP.TOTL.FE.IN,206164011,206127847,206037531,206186236,206437924,206716627,207056705,207467427,208053176,208971846,209992845,211008088,212071175,213234448,214381703,215586684,216772704
Europe & Central Asia (excluding high income),ECA,"Population, male",SP.POP.TOTL.MA.IN,189219958,189057164,188834466,188830689,188922453,189047085,189235093,189492874,189938535,190739629,191702169,192722865,193830210,195068096,196307448,197587253,198835739
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,397083969,396886165,396574307,396720391,397064999,397469492,398011334,398693705,399739094,401472949,403470694,405521953,407706585,410126644,412510951,414975737,417424643
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, female",SP.POP.TOTL.FE.IN,225849029,225817114,225728215,225874397,226124665,226403503,226738299,227144093,227737185,228673326,229642119,230671879,231738700,232893652,234029381,235224015,236392490
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, male",SP.POP.TOTL.MA.IN,207793569,207615973,207374146,207347098,207417934,207525654,207694766,207936768,208380285,209189752,210095689,211122329,212225849,213449088,214671505,215936334,217163969
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,435342598,435134241,434804671,434924961,435247221,435634937,436152601,436814265,437864853,439624552,441513488,443585208,445769749,448166840,450522686,452962149,455372659
