country,alcohol_deaths
MAR,516.2916069
AFG,317.020607
AGO,755.4945831
ALB,18.95415306
ARE,55.52525544
ARG,1441.080254
ARM,56.82543755
ATG,9.280653715
AUS,775.7662735
AUT,825.7826462
AZE,254.3931274
BDI,321.0346241
BEL,770.9715805
BEN,305.7296267
BFA,533.1397567
BGD,1009.033142
BGR,159.1223211
BHR,15.31147915
BHS,19.28997993
BIH,284.5412893
BLR,1968.617249
BLZ,14.06194443
BOL,766.9263191
BRA,17652.81256
BRB,8.653210968
BRN,1.428279497
BTN,8.889874876
BWA,41.85256958
CAF,164.8938303
CAN,1797.617523
CHE,467.2561073
CHL,869.4016228
CHN,25169.0968
CIV,1161.685226
CMR,788.9204588
COD,1222.414722
COG,74.43187737
COL,291.9638863
COM,18.48271966
CPV,5.488928705
CRI,100.1567597
CUB,941.3769226
CYP,13.57721645
CZE,643.0449829
DEU,10437.47314
DJI,24.72319138
DNK,1279.759369
DOM,240.8529339
DZA,141.4647989
ECU,853.8665581
EGY,284.4811649
ERI,112.8073895
ESP,697.9583588
EST,412.6166878
ETH,2154.89571
FIN,1170.718002
FJI,2.463074364
FRA,6836.226318
FSM,0.84592047
GAB,29.43499613
GBR,2333.047119
GEO,56.80724049
GHA,735.9372835
GIN,374.102025
GMB,44.48749295
GNB,45.48051822
GNQ,32.01135361
GRC,70.67286587
GRD,5.097765759
GTM,2389.95179
GUY,41.63873363
HND,218.8099222
HRV,455.5968323
HTI,718.5458603
HUN,906.1128159
IDN,2497.951355
IND,15682.05859
IRL,160.1467247
IRN,142.2814808
IRQ,133.8477173
ISL,11.24083889
ISR,94.83610201
ITA,757.4369507
JAM,17.94725251
JOR,29.69624758
JPN,993.4715958
KAZ,949.5905151
KEN,844.05369
KGZ,570.6789589
KHM,618.0196686
KIR,0.653021395
KOR,1666.228508
KWT,14.14062482
LAO,262.3469391
LBN,32.49716926
LBR,95.84510839
LBY,48.43530297
LCA,10.86595154
LKA,633.3948154
LSO,36.37191486
LTU,598.6100082
LUX,42.17971706
LVA,432.8091812
MDA,729.7543488
MDG,298.0225191
MDV,20.79844999
MEX,6904.95192
MKD,37.44732893
MLI,407.4142301
MLT,4.222943664
MMR,3371.273773
MNE,16.77817035
MNG,413.8961153
MOZ,497.3442125
MRT,85.57825199
MUS,86.56837964
MWI,240.7344477
MYS,669.1079674
NAM,40.67340422
NER,356.7104099
NGA,5157.295265
NIC,863.5286589
NLD,580.0597763
NOR,495.4113503
NPL,194.7057858
NZL,97.13563919
OMN,21.81086582
PAK,998.8827667
PAN,56.90569758
PER,801.6943817
PHL,3148.61438
PNG,91.01871443
POL,6374.850281
PRK,612.5143166
PRT,400.5731354
PRY,350.8309708
QAT,8.452518716
ROU,1158.640259
RUS,53193.10596
RWA,340.4545674
SAU,163.73841
SDN,403.6310844
SEN,304.0039154
SGP,24.5120194
SLB,4.681681901
SLE,271.0800462
SLV,1957.572948
SOM,252.1405282
SRB,624.8936405
SSD,284.2661281
STP,2.366255142
SUR,20.67235994
SVK,352.1433372
SVN,204.1986456
SWE,690.6774178
SWZ,26.54905105
SYC,2.564319529
SYR,69.79646397
TCD,494.6178849
TGO,205.4468466
THA,4973.704041
TJK,120.4694366
TKM,180.6241798
TLS,26.86082363
TON,0.795230679
TTO,44.6618793
TUN,238.3122635
TUR,429.3467541
TZA,1163.090511
UGA,696.0347195
UKR,6921.638245
URY,140.292942
USA,18648.65479
UZB,685.5067673
VCT,12.8999266
VEN,187.3666248
VNM,1847.462311
VUT,1.809358787
WSM,1.380444825
YEM,235.4492207
ZAF,1186.189056
ZMB,276.5677977
ZWE,396.3807106
(blank),
Grand Total,257026.9764
