,country,year,birth/1000,fertility/1000,health_exp/capita,health_exp_private_%GDP,health_exp_public_%GDP,health_exp_public_%govExp,health_exp_public_%totHealthExp,health_exp_%GDP,life_exp_F,life_exp_M,life_exp,risk_maternal_death_%,mortality/1000_adultF,mortality/1000_adultM,mortality/1000_infant,death_age<5,health_exp_outOfPocket_%privateExp,health_exp_outOfPocket_%totExp,sanitation_%pop,anemia_%age<5,anemia_nonpregnant_%age15-49,anemia_%pregnant,anemia_%age15-49,survival_>=age65_F,survival_>=age65_M,tuberculosis_%detect,tuberculosis_%txSuccess,Code,Region,Income group
0,Afghanistan,2007,42.86,6.46,26.98894729,6.206180276,0.522136074,2.94919278,7.76027831,6.72831635,60.933,58.543,59.70885366,4.768726853,243.045,286.238,80.4,121973.0,99.48917338,91.76853664,30.27581674,44.5,34.1,37.8,34.6,60.287259999999996,54.48639,59.0,87.0,AFG,South Asia,Low income
1,Afghanistan,2008,41.696999999999996,6.254,33.80518937,6.94250929,1.38558405,6.92608989,16.63747023,8.32809334,61.486000000000004,59.086000000000006,60.25673171,4.363613443999999,238.354,281.258,78.6,119855.0,99.71497974,83.12492967,31.36153802,44.2,34.4,37.6,34.8,61.00975,55.19505,56.0,88.0,AFG,South Asia,Low income
2,Afghanistan,2009,40.474000000000004,6.037999999999999,43.52543981,6.832843863,2.586126777,12.7289712,27.45657541,9.41897064,61.998999999999995,59.589,60.76460976,3.962104695,233.662,276.279,76.8,117253.0,99.68211644,72.31282097,32.45585491,44.3,34.9,37.4,35.2,61.73225,55.90371999999999,51.0,86.0,AFG,South Asia,Low income
3,Afghanistan,2010,39.232,5.816,52.8857608,6.342346227,2.855376503,14.40415287,31.04438552,9.19772273,62.476000000000006,60.053999999999995,61.23546341,3.543143567,228.97099999999998,271.29900000000004,75.1,114576.0,99.62761787,68.69883609,33.55919242,44.2,35.6,37.3,35.8,62.45475,56.61238,53.0,86.0,AFG,South Asia,Low income
4,Afghanistan,2011,38.016,5.595,52.38254929,5.79189923,2.08009266,10.17410763,26.42396854,7.87199189,62.924,60.483999999999995,61.6742439,3.1185763939999998,224.28,266.32,73.4,110628.0,99.56381683,73.25510519,34.67182137,44.3,36.4,37.3,36.5,63.177240000000005,57.32105,51.0,88.0,AFG,South Asia,Low income
5,Afghanistan,2012,36.863,5.38,58.16803071,5.598346672999999,2.9205660069999997,11.668975999999999,34.28331897,8.51891268,63.354,60.891999999999996,62.09297561,2.7501512569999997,219.588,261.34,71.7,106217.0,99.56381683,65.43003593,35.79401257,44.5,37.4,37.3,37.4,63.89974,58.029709999999994,51.0,88.0,AFG,South Asia,Low income
6,Afghanistan,2013,35.797,5.1739999999999995,53.36597308,5.4844716710000005,2.650393889,10.591285000000001,32.58067229,8.13486556,63.778,61.286,62.50160976,2.434606475,215.30700000000002,257.135,69.9,101766.0,99.56381683,67.12525595,36.92603682,44.8,38.4,37.4,38.3,64.57236999999999,58.6408,53.0,88.0,AFG,South Asia,Low income
7,Afghanistan,2014,34.836,4.981,56.57452735,5.249440098,2.932833722,11.99862788,35.84374939,8.18227382,64.197,61.67,62.90268293,2.153191318,211.02599999999998,252.93,68.1,97692.0,99.56381683,63.87641185,38.06794051,45.2,39.6,37.5,39.4,65.245,59.2519,53.0,87.0,AFG,South Asia,Low income
8,Afghanistan,2015,33.98,4.802,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,64.613,62.04600000000001,63.29819512,1.92613064,206.74599999999998,248.72400000000002,66.3,94261.0,-2.0,-2.0,39.22043325,45.8,41.0,37.8,40.7,65.91763,59.86299,58.0,-2.0,AFG,South Asia,Low income
9,Afghanistan,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,46.4,42.4,38.2,42.0,-2.0,-2.0,-2.0,-2.0,AFG,South Asia,Low income
10,Albania,2007,12.129000000000001,1.6680000000000001,216.94308130000002,3.47476415,2.6291710999999998,8.88017452,43.07337795,6.10393525,78.528,73.192,75.79492683,0.045701455,59.481,105.914,16.7,662.0,92.20500011,52.48919192,93.60350875,22.6,22.5,22.4,22.5,89.26418000000001,81.06352,85.0,87.0,ALB,Europe & Central Asia,Upper middle income
11,Albania,2008,11.933,1.65,254.735035,3.17551771,2.69389845,8.36560747,45.89721323,5.86941616,78.733,73.539,76.07265854,0.045783116,58.188,101.527,16.0,598.0,95.50401205,51.67033199,94.28114857,22.3,22.3,22.1,22.3,89.4526,81.77611,86.0,88.0,ALB,Europe & Central Asia,Upper middle income
12,Albania,2009,11.837,1.646,238.0709795,2.9577637169999997,2.833575743,8.46326188,48.92781303,5.79133946,78.962,73.95,76.39487805,0.047116067000000005,56.895,97.139,15.4,559.0,99.69070452,50.914223,94.93707232,22.0,22.2,21.9,22.2,89.64103,82.48869,87.0,86.0,ALB,Europe & Central Asia,Upper middle income
13,Albania,2010,11.819,1.653,219.27385750000002,2.85846698,2.47656803,8.46326188,46.42083932,5.33503501,79.209,74.404,76.74790244,0.049607295,55.601000000000006,92.75200000000001,14.8,540.0,99.67965983,53.40752510000001,95.57169999,22.0,22.2,21.8,22.2,89.82945,83.20128000000001,88.0,89.0,ALB,Europe & Central Asia,Upper middle income
14,Albania,2011,11.845999999999998,1.6680000000000001,255.2555999,2.8654943999999998,2.84917086,9.85079071,49.85717851,5.71466526,79.462,74.867,77.10846341,0.050652504,54.308,88.365,14.3,543.0,99.68647388,49.98561064,96.18477032,22.0,22.4,21.8,22.4,90.01788,83.91386999999999,88.0,92.0,ALB,Europe & Central Asia,Upper middle income
15,Albania,2012,11.888,1.685,239.5128679,2.85346875,2.7357041,9.71053128,48.94649304,5.58917285,79.705,75.29899999999999,77.44826829,0.051873373,53.015,83.977,13.8,567.0,99.68777336,50.89410431,96.77643318,22.3,22.7,21.9,22.7,90.2063,84.62645,89.0,92.0,ALB,Europe & Central Asia,Upper middle income
16,Albania,2013,11.915999999999999,1.7,253.3418956,2.8191552439999996,2.8359842360000003,9.76242119,50.14879378,5.65513948,79.92699999999999,75.671,77.74709756,0.052599517,52.355,82.646,13.3,593.0,99.68777336,49.69555747,97.31246795,22.7,23.2,22.1,23.2,90.34531,84.88075,89.0,88.0,ALB,Europe & Central Asia,Upper middle income
17,Albania,2014,11.914000000000001,1.71,272.2042915,2.946732155,2.936373275,9.36900452,49.91196079,5.88310543,80.124,75.97399999999999,77.99839024,0.05287837,51.695,81.315,12.9,613.0,99.68777336,49.93165101,97.67665857,23.3,23.8,22.4,23.8,90.48432,85.13506,75.0,88.0,ALB,Europe & Central Asia,Upper middle income
18,Albania,2015,11.879000000000001,1.714,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,80.297,76.209,78.20314634,0.053360538,51.035,79.984,12.5,618.0,-2.0,-2.0,97.69065534,24.0,24.5,22.7,24.5,90.62333000000001,85.38936,76.0,-2.0,ALB,Europe & Central Asia,Upper middle income
19,Albania,2016,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,24.9,25.4,23.2,25.3,-2.0,-2.0,-2.0,-2.0,ALB,Europe & Central Asia,Upper middle income
